
2024/12/22 (02:23:59) | ===> btop++ v.1.4.0
2024/12/28 (21:47:32) | ===> btop++ v.1.4.0
2024/12/28 (21:47:32) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/28 (21:47:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (21:11:41) | ===> btop++ v.1.4.0
2024/12/29 (21:11:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/29 (21:11:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (21:11:47) | ===> btop++ v.1.4.0
2024/12/29 (21:11:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/29 (21:11:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (21:12:13) | ===> btop++ v.1.4.0
2024/12/29 (21:12:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/29 (21:12:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (16:12:11) | ===> btop++ v.1.4.0
2024/12/30 (16:12:11) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/30 (16:12:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (16:32:36) | ===> btop++ v.1.4.0
2024/12/30 (16:32:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/30 (16:32:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (16:33:57) | ===> btop++ v.1.4.0
2024/12/30 (16:33:57) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/30 (16:33:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (16:36:19) | ===> btop++ v.1.4.0
2024/12/30 (16:36:19) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/30 (16:36:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (16:36:30) | ===> btop++ v.1.4.0
2024/12/30 (16:36:30) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/30 (16:36:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (16:37:02) | ===> btop++ v.1.4.0
2024/12/30 (16:37:02) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/30 (16:37:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (16:43:49) | ===> btop++ v.1.4.0
2024/12/30 (16:43:49) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/30 (16:43:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (16:45:04) | ===> btop++ v.1.4.0
2024/12/30 (16:45:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/30 (16:45:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (16:45:20) | ===> btop++ v.1.4.0
2024/12/30 (16:45:20) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/30 (16:45:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (19:45:33) | ===> btop++ v.1.4.0
2024/12/30 (19:45:33) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/12/30 (19:45:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/01 (23:20:24) | ===> btop++ v.1.4.0
2025/01/01 (23:20:24) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/01 (23:20:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (22:01:04) | ===> btop++ v.1.4.0
2025/01/02 (22:01:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/02 (22:01:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/03 (16:07:40) | ===> btop++ v.1.4.0
2025/01/03 (16:07:40) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/03 (16:07:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
